Apatani,English
ahu,body; torso
ahu ará,naked; nude; undressed
ahu yari,the loin-belt (*yari) along with the cane belt (*ahu) which altogether hide the body private parts of grown-up males
ahu-apo,body; torso
aháa,string; cord
aháa,heart
aháa ahɨ’,forget; fail to remember
aháa ba’,hate; loathe; abhor
aháa du’,heartbeat
aháa pìitañ,thirst
ahì,fruit
ahì amvr,fruit items
ahú,wake up; rouse
ai-are,annoyed; vexed; exasperating; problematic
ai’,miser; mean
aja,to finish/complete coming
ajan,[a´dʑã] adj
ajan bulyan,bulyan n
ajañ-bɨzv,fragile; soft; tender
ajań,young; immature
ajer,bit; little; little bit (of)
ajer-aber,little by little
ajerhe,a little amount/part/bit
aji,paddy field
aji ager,bund of a paddy field
aji agyan,[adʑi a´gjã] n
aji amu,quantity of rice grain in the field; crop
aji bogya,entry point of a paddy field
aji ehanii,a collective day's work offering in paddy field on the 30th day of *Myoko festival
aji hurta,(Agr
aji huta,long wooden bat used for making leeways in wet paddy fields for diverting out excess water
aji indu,time for going to fields (usually 8:30-9:30 am)
aji kaji,variety of *kaji
aji lenda,"agricultural labour team comprised of people having their fields in the same area, whose main duty is to look after the construction and maintenance of foot-paths"
aji mii,to work in paddy fields
aji padii,(Bot
aji pai,(Zool
aji piiha,basket made of bamboo splits used for carrying vegetables
aji sampya,(Agr
aji siicho,drainage canal of a paddy field 
aji tatii,(Zool
aji-lyapyo,"fields, in general"
ajin,[a´dʑi] n
ajin apii,apii n
ajin aran,aran n
ajin atan,atan n
ajin gyoniin,gyoniin n
ajinbo,friend (term of address)
ajiñ,friend; company; mate [v.  befriend]
ajiñ arañ,bossom friend; confidante; alter ego
ajiñ-apɨ,company; friendship
ajiñbò,friend (used as both term of reference and address)
ajo,gentle; tender
ajopa,cautioulsy; carefully and slowly; without haste
aju,yes; okay
ajuja,weakest
ajuya,weaker
aju’,weak; frail; feeble; sick; ailing [n.  weak person]
ajvr,to be playful as a dog waging its tail
ají,farm; wet agricultural field
ají mɨmɨ,farmer
ají pɨhá,small cane basket
ají sampyá,"tray, usually of wood, used to move soil from one part of the paddy field to the other"
ají-fa’pyó,agriculture; farming
ajóo,fare; wage  [v. hire; pay for]
aka,to try to come; to come as a test or trial
akan nyachu,nyachu n
akan potin,potin n
akan taper,taper n
akanja,lowest
akanya,Lower
akañ,bottom; beneath
akañ zacú,lower lip
ake,food
akha,"shallow, as of river, lake, etc"
akha babo,wooden mast erected by the members of a clan near their *lapan for the use of grown-up people during *Myoko festival 
akha miyu,elder; elderly person
akha-ato,great grandfather
akha-aya,"to feel a sensation of heat or irritation, as if burning"
akhe,(Anat
akhii,(Anat
akhii alo,(Anat
akhii har,to have diarrhoea or loose motion
akhii sa,to suffer from diarrhoea or loose motion
akhiin-amii,adj
akho,(Bot
akho pike,dried taro stem *pike
akhoja,most prominent; chief; leading; head
aki,dog
aki amu,dog hair
aki asi,kennel
aki dula,rope used to tie dogs
aki durgu,dog wooden trough 
aki ipa,dog excreta
aki piiro,loosely woven basket for carrying dogs
aki tader,(Zool
aki takhii,(Zool
aki-kibo,male dog
aki-kichu,puppy
aki-kinii,bitch
aki-kinyo,small dog
aki-kipo,pup
aki-kiro,big dog
aki-paro,"domestic animals, in general"
ako,"entrance; any place for coming or entering, esp"
ako heter,even one
ako tare,any (of); either
ako-abi,everyone; everybody
ako-ako,one by one; one after the other
aku,uncle (esp. maternal) (Term of address)
akubo,mother's brother's son (term of reference)
akunii,return
akur,to return; to come back to where one is based
akw,interjection to express pain
akée,food item used as a gift to express friendly gesture
akì,dog
akì amù,dog’s hair
akì asi’,kennel; shelter for a dog
akì dula,rope used to tie dogs; dog rope
akì durgu,wooden trough for feeding dogs
akì ipa’,faeces of dogs
akì kíibò,male dog
akì kíicú,puppy
akì kíinw,bitch
akì tadvr,tape worm
akì talañ,dog of brownish color
akì tapúu,dog of white color
akì taxw,flea
akì twxè,flea
akì-paro’,domestic animals
akó,num.  one; single
akó koñtw’,only one; alone
akó-abi’,everyone; everybody; every person
ala,hand
ala chinyo,inclined to steal; kleptomaniac
ala la,to shake someone's hand
ala lalin,vcn
ala lyennge,"one fathom, construed as the distance between the fingertips of both hands when the arms are raised horizontally on the sides"
ala tuye,"arm span, construed as the distance from the shoulder to the tip of the middle finger"
ala-lapu,(Anat
ala-lapyo,(Anat
alañ,neck;hump of an ox; neck of a bottle or a pot
ala’,hand
ala’ la’pù,fist
ala’ muja,glove
ale,(of birds) wing
aler,(of humans and animals) strong; powerful
aler diiri,"ornaments, in general"
alerja,hardest
alerya,harder
ale’,wing
ali,(Anat
ali chakur,footmark; foot print
ali innii-nanii,"bamboo stilts, used by children for walking at a greater-than-usual height"
ali lembo,paved road
ali paga,with one's legs wide apart
ali-aho,seedlings
ali-ingii,to cause something or someone to follow
alii,"relationship to the mother's brother, that is manifested through regular gifts"
alii-aha,to exchange; to swap
alin,adj
aliñ,make something round; wind a quantity of yarn or thread into a ball (esp. by using a kind of spinning wheel)  [n.  ball; sphere]
aliñ,wild; untamed; fierce; savage
alló,bone
alo,day
alo,salt
alo a,to compete to reach or come
alo apiñ,lunch
alo kamyañ,everyday; daily; commonplace
alo khu,"old property inherited from forefathers, which was never purchased nor sold"
alo liipa,noon; midday
alo lo,(of a day) to dawn
alo lohe,one day
alo lwpá,noon
alo papu,(Anat
alo pike,dried bone *pike
alo sudu,salt container kept inside the house
alo tihi,salty
alo-alo,everyday
alo-lolyan,n:time
aloniin,[alo:ni] n
alu,work or task to be done
alu-ale,to be busy at; to be occupied in doing something
alun,adj
alun dado,dado adv
alun- lungii,lungii vcn
alunpa,suddenly
aluñ,"surprise, shock"
alvr,hard; firm; rigid; strong
alẃ,a part of upper arm of an animal; lineage to whom a part of upper arm of sacrificed animal is offered
alw’,exchange; interchange; swap
alw’,insert; put
alya,to lick
alyan,[a´ljã] n:num
alyan khiihe,khiihe n:num
alyan khiiye,khiiye n:num
alyan piilye,piilye n:num
alyan yango,yango n:num
alye,door
alye-ache,(esp
alyi,pig
alyi amu,pig hair
alyi aro,strong wind; windstorm
alyi atu,piglet
alyi durgu,pig wooden trough
alyi giiri,pigsty; boarded-up enclosures located below the pile-borne houses where pigs are kept
alyi ikha,pig excreta (used as organic fertiliser in paddy fields)
alyi miige,trough cleaner
alyi piiro,basket made up of splitted bamboo to carry pigs
alyi supunnii,ritual smearing of rice powder over the sacrificial pigs during *Myoko festival
alyi yo,pork
alyi-lyido,food or eatables for pigs
alyi-lyikho,bow without its string used in the Myoko ritual
alyi-lyiku,bacon
alyi-lyila,pig forelimb
alyi-lyinii,sow (female pig)
alyi-lyinyo,small pig (i
alyi-lyipo,male pig
alyi-lyiro,big pig
alyin,[a´lji:] n
alyin apin,apin n
alyin dalyi,dalyi adv
alyin kamo,kamo n
