Apatani,English
ceñ,bundle; bunch; clump
ceñxo,scab (of a wound); crust
ce’,argue; contend; claim; wrangle
ce’,cut (as with scissor)
ce’,press or squeeze; sandwich; compress
ce’ce’,stubborn; obstinate
ce’ga,argumentative; quarrelsome; belligerant; captious
ce’su,argue; contend; claim; wrangle
ce’xo’,diasgree; differ; diverge from
cha,"to split along the length with a blade (knife or sword), as a bamboo or cane section; to tear something lengthwise, as a rope"
chaba,(of a plural subject) to go (up)/climb together
chabo,to step across
chabya,to step on something hot and get burnt
chache,"to split something along the length, as done when splitting a bamboo or cane section into thin strips"
chadu,time for moving up or northward/climbing/rising
chage,to step on something and get it sticked to the sole of the foot
chago,to miss someone or something while going up or climbing
chagya,entrance; point of entry; threshold
chaha,to step in or into something
chahi,miser
chahii-chakhe,to move something out of its place by stepping
chahipa,selfishly
chaje,to tread on/upon something; to step on something
chakor,footstep
chala,"good/skilled at climbing (a tree, a mountain, etc"
chale,miserly
chalo,to push something down with the help of one's leg or foot
chalya,(by sun) to rise
chalya ho,at sun rise
chalyanii,one who rises (unspecified)
chambyo,war
chamii,to crush something by walking on it
chan,vsuff
chan-,[´tɕã] class
chanchi-dochi,"critical-natured, as of a person or character"
chanchu,"tripod used for supporting cooking pots over a fire, originally consisting of three upright stones"
chandii tamu,ritual performed during the month of February/March when the soil is being prepared for cultivation
chani,to step on someone's finger
chaniin,[´tɕani] n
chankha-dikha,"(of a land, area, etc"
chanko,"any piece of plate-shaped object, as for eg"
chankun,n:num
channe,"(of pots, pans, saucepans, etc"
channge,(of plate-shaped objects) one
chansa,(of two or more plate-shaped objects)
chanta,rice flake
chantii-dotii,universe
chantu,(Zool
chanyo,(of a plate-shaped object) small
chanyu,(Bot
chape,to climb till the destination is reached
chapo,to go somewhere or climb something by crossing something on the way (without touching it)
char,"to boil a liquid, esp"
charkhii,to boil something completely
charo,(of a plate-shaped object) big; large
charti,to boil again; to re-boil
chata,to step on something
chayu,to prick/puncture underneath one's foot
che,to argue; to defend one's idea
che ter,even a little
cheda,almost
chega,to argue or quarrel a lot; to argue/quarrel too much
chehe,some; a few; a little of
chekha,"to cut wrongly/badly, as with scissors"
chekhii,to kill by squeezing in between two objects
chekho,to disagree; to differ; to disaprove; to be at variance with; to contradict
chen-,class
chenkho,scab (on a wound)
chenne,(of bundles/heaps of flat objects) how many
chennyo,(of a bundle/heap of flat objects) small
chenro,(of a bundle/heap of flat objects) big
chensa,(of two or more bundles/heaps of flats objects)
cher,with discernment
chesu,"(of a plural subject) to quarrel; to fight by arguing, as within family members or close neighbours"
cheter,to defend oneself verbally against someone
chi,"to cast/throw (spear, sticks, etc"
chiba,"small basket mainly used to carry meals during jungles trips, hunting expeditions or outings"
chicha,"to move up very fast in water on in air, as of a fish, vehicle, airplane, etc"
chichin se,se n
chichin uyi,uyi n
chidii,opening made in the ceiling floor to access the ceiling area by a ladder
chiga,to bite a lot
chige,to bite and hold something in one's mouth
chigone,to cause annoyance or irritate intentionally
chigu,"(of a river, stream or brook) source"
chiichin se,se n
chiju,(of a fish) swimming type or style
chikan,part
chikha,to miss a target one is throwing at
chikhii-chikho,(Zool
chikhoja,smartest
chikhopa,smartly
chikhoya,smarter
chiku,shall [do] now/in an instant
chilo,to throw down
chilyu,(Zool
chimi,silent; peaceful; noiseless; quiet
chimi chomyo,silent; peaceful
chimii,to tear in pieces with teeth
chimin,adj
chimpyo,easy to know or understand
chin,[`tɕi] vt-r
chingii,to learn from someone; to get to know something from someone
chiniin,[tɕi:ni] n
chinnii,one who knows (unspecified); learned person; knowledgeable person
chinyu,soot
chinyu abi,"a two-vertical band (black and white) cotton skirt used by older people, especially during Dree celebrations"
chipa,to break off with teeth
chipii,frame of a bamboo sliding door
chipu,to bite something/someone mistakenly
chipyo,easy to throw
chire,to break with teeth
chiri,"ceremonial sword without hand guard, originally imported from Tibet"
chiri kortu,square-shaped piece of metal capping the end of a *chiri handle
chirii,"shoot, as of a plant; sprout; young stemlike growth arising from the stump of a tree"
chiru,pocket
chite,to knock something down by throwing something at it
chitu,to catch someone by holding his body by both hands
cho,emphatic marker
chobya,to pop out and burn something
choga-choga,waddlingly
cholo,"element of the *babo structure, a wooden plank made in the shape of a machete on which designs are added by the use of charcoal"
cholya,lame
chor,"to spray (water, etc"
chorjin-chikii,adj
chorke,"strong, as of a taste"
chorkii,"smart, either active/strong in work, or having a straight posture/personality"
choyi,"to pop out and fall (as of water, e"
chu,small; juvenile
chucha,ritual element of sacrificial altars 
chudu-chubo,careless; reckless; imprudent; unwise
chuha,to dive in; to plunge into
chuker,saliva; sputum; spittle
chukha,small basket made out of bamboo splits that is usually fixed to the rack hanging above the fireplace
chuki,sharp pin made of bamboo or wood for tagging cloth
chun,vt-r
chunyi,(Zool
ciba,small cane bag usually used for carrying tiffin
cibyw,smart; quick; agile
ciciñ,a variety of ritual (esp. to ward off malevolent spirit) [Ant.  twgò]
ciciñ,loin loom
cifù,little forktail (Enicurus scouleri)
cigu,source (of a stream)
ciirw,edge; brim
ciiñ,weave
cikañ,part. like; similar
cimiń,docile; humble; modest
ciru’,pocket; pouch
cixo,clever; smart; successful person
cixw-cixo,a variety of bird; black drongo (Dicrurus macrocercus)
cizu’,soot; impure carbon particles resulting from the incomplete combustion of wood
ciñ,know; comprehend; understand
ci’,move fast (as a fish do)
ci’,hold (with both arms)
ci’,hurl (as a javelin)
ci’pw,frame of the bamboo sliding door
ci’ri,ceremonial antique sword
cofo paka’,"small metallic plate, esp. to serve side dishes"
coga-coga,waddling; manner of walking with short steps and swaying motion
cogiñ,squat; crouch
colo,a decorative element of babó
cor,spray; squirt; sprinkle
corjiñ,straight
corkw,smart; strong; rigid
corkè,strong (as of taste)
cortiñ,waterfall
co’myo’,slowly; silently; stealthily
cuca,an element of a ritual altar
cudu-cubo,imprudent; reckless
cuha,plunge; plummet; nosedive
cukvr,sputum
culu,a variety of children’s game
cuu,move with head forward
cuuki,stoop
cuuki’,metallic poker; safety pin
cuuku,upside down
cuuxa,small bamboo container over the fireplace
cuuzi,water beetle
cu’,spit; expectorate
cwgw-caga,lean and thin
càa,take paddy from the granary
cáa,split; slit
cì,bite
cí,claim (ownership)
cíi,be extinct
cíkù,pocket; pouch (syn. ciru’)
còo,bounce (as a ball); hop on one foot (of a human)
còofa,limp
da,to stand; to be in an upright posture
da-,foot step; pace
daanw,"a gift item on the occasion of Mida, a part of Apatani marriage ceremony"
daapo,"a gift item on the occasion of Mida, a part of Apatani marriage ceremony"
daara’,stiff (as of a cliff)
daare’ re’ke,lower rack over the fireplace
daarò,big step
daaze,two steps
daazó,small step
daba,(of a plural subject) to stand together; to be standing together
dabo,to step or walk along with someone
dacañ,iron; metal
dacañ pwcañ,metallic pot
dacañ pwloo,metallic crowbar
dacha,to step up
dachan,[da:tɕã] n
dachan bimpu,bimpu n
dachan harpo,harpo n
dachan piilo,piilo [da:chã pi´lo] n
dachan yakho,yakho n
dachi ari,"formal gift/bride price presented to the bride's parents in the context of dachi mida*, or ordinary marriage"
dachi mida,ordinary or middle-sized marriage
daci mida,mida of lesser variety
dadiima,I am sure that; I swear that
dado,adverbializer
dagur,to guard
dagya,to stay or stand at the wrong place
daha,to step in
daha-daba,(of a plural subject) to step in together
dahi,"to step aside, e"
dahi-damo,to stay awhile; to stand or stay for a short period
dahii-dakhe,(by a plural subject) to exchange position by stepping
dahw-daaxe,go here and there
dako,standing place
dako ganda,residing place
dali,dried pulse usually prepared as gravy and taken with rice
dalii,to drive something inside by beating it
daliñ,path made by a hunter; hunting track
dalya,to stay or stand for a while; to wait (in a standing posture); to stand temporarily
dalyi ho,towards the right
daminda,variety of traditional dance accompanied by songs performed by a group of women
damiñda,"a variety of Apatani traditional dance, accompanied by bwsí"
damu,wooden digging stick used as an agricultural implement
dan,[dã] vt-r
danba,(of a plural subject) to beat together
danbo,to beat along with; to join others in beating something or someone
danche,to break by beating
dangi,"to fall (as of a tree, pole, etc"
danii,term used to designate the bride during the wedding ceremony (*mida)
danii-dapo,term designating the bride and the groom during the wedding ceremony (*mida)
daniibo,the one who is standing (specified); the standing one
dankhii,to cause sprain or injury by beating with a rod/stick; to kill by beating with rod or plank
dankho,"long sharpened stick (that may be used as a digging stick, e"
dankho panyi,arms; ammunition
dannii,wooden club used for driving pillars into the soil
danniibo,the one who beats (specified)
danpi,to dry by beating
danso,spear with long handle
danta,to flatten by beating (e
danti,to beat again; to repeat beating
danw,heavy wooden hammer
danyi,sun
danyi a,(by sun) to set
danyi adu,sunset; moment the sun disappears below the horizon
danyi bembya,sunburn
danyi cha,(by sun) to rise
danyi chacha,(Zool
danyi chadu,sunrise; moment the sun appears above the horizon
danyi chalyanii,sunrise
danyi ho,under the sun
danyi huto,sunlight
danyi khomu,*khomu ornamenting *danyi agyan
danyi rila,sun ray
danyo,(of a step/pace) small
danyopa,aimlessly; uselessly
dapo,penalty; prohibition; sanction
dapo pogyañ,an altar erected during a community penalty or to announce such a penalty
daqi,fall (from standing position); tumble
dar,break (as a stick); crack; snap
dar,move or lift with a stick used as a lever
dara,"stiff, as of a cliff; sheer, as of a slope"
darcha,to move/lift something up with a lever
dare,variety of stone crush trap
dareke,"bamboo shelving complex located above the main fireplace in a house, used for smoke-drying provisions and storing various things (boxes, kitchen utensils, firewood, etc"
darhii-darkhe,"to move or lift around with a lever (stick, rod, etc"
darii,to stand face to face
darii-pyabya,clean
dariija,cleanest
dariijapa,more cleanly; more neatly; more purely
dariipa,cleanly; neatly; purely
dariiya,cleaner; neater; purer
darlin,vt-r
darlo,to move something down with a lever
darnyo,(of a funnel-shaped material used for filtering beer) big
daro,"big, as of a step"
darre,(of a funnel-shaped material used for filtering beer) one
darro,(of a funnel-shaped material used for filtering beer) big
dartu,to break
daru,summer; hot season
daruu,summer
darw’,clean; pure; clear
darw’ pyabya,clean; pure; clear
daryi,"to fall (as of a tree, pole, etc"
dasa,to stand/stay at distance; to stay away
daser,free; without burden (staying away from causes)
dasu,to stand by oneself (without someone to support)
dasvr,free; without burden; unencumbered
datii ari,"formal gift/bride price presented to the bride's parents in the context of datii mida*, or large-sized marriage"
datna,bottle cap
datu mida,large (also most expensive) marriage
datw mida,mida of greater variety
daye,"one pace, construed as the distance from where one foot is set down to where the other is set down"
dayi,to step down
dayi-damo,to stay away from something
dazi,sun
dazi agyañ,altar for propitiating Dazi (the Sun God)
dazi alo,Sunday
dazi caca,a small variety of cicada
dazi cago,east
dazi lofañ,mid-day; noon
dazi riila’,sunray
dazi somiñ,a species of legless lizard; Asian glass lizard (Ophisaurus gracillis)
dazi tatw’ arnw’,solar eclipse
dazi áago,west
dazo,without reason; aimless
dañ,beat (with a stick)
dañlò,beat something down; cause to fall by beating
dañsò,spear with long handle
dañte’,beat something down; cause to fall by beating
dañtvr,break something by beating
dañxo,long sharp stick
dañxo-pa’zì,weapon
dañxw,beat to death; kill by beating
dañxw’,beat into fragmant (for example bone); fracture or break something by beating
da’,stand; be there
da’fa,wait (standing); halt; pause
da’hi’-da’mo,stand for a while; wait for a while
da’mo,rest; take a breather
da’re’ke,lower rack over the fireplace
de,to crack
dedemiire,"chubby, as of a child; chunky; plump"
defañ rwcañ,bell used by prist during rituals
defañ rwci,bell
dego,"crack; chink, as in the bund of a paddy field"
dekin,[de´ki] n
dekin piichan,piichan n
dekiñ,clay
dekiñ pwcañ,clay pot
delo,frame that is added to a basket during the manufacturing process to support it
delyan riichi,riichi n
dema,naughty; disobedient
dema denjo,outcome for being naugthy
dema úì,evil spirit
dema-roma,criminal; bandit; lout; hoodlum
demanii,the naughty one; (he) who is naughty (unspecified)
dempyo,mouse
denge,(of infants) hair of the head
denge redu,ceremony during which a newborn's head is partially shaved
denii,fencing
denki,obedient
denkija,most obedient; most sincere
denkipa,obediently; sincerely
denkiya,more obedient/sincere
deqe,hair (of a child)
der,make clear
derogatory huhii-hukhe,to shake back and forth
deñki,sincere; obedient
de’,crack; split; rapture
de’,plait or weave
de’go,crack
de’lo,"frame of a basket, etc"
di,to detach; to peel
dibii rungo,"nearby forest, mainly comprised of bamboo (*bije) and pine groves"
dibu,(Agr
dibur,mole cricket (Gryllotalpidae)
dider,"fluent, as of a speech; articulate"
didu,liquid container of bamboo
didvr,"fluent, as in speech; articulate"
digo,occupation; work
dii,to eat
dii'ngo,"food leftover, e"
diiba,(of a plural subject) to eat together
diiber,to eat too much of something and have one's body reacting badly later on
diibi,to eat on someone else's behalf
diibo,collective name for those claiming descent from the ancestor Tasso Darbo
diibun,adj
diibyan,adj
diibyoho,to eat/have a meal as formal ending of certain rituals such as *uyi anyo
diiche,to share/divide food
diiche-tanche,to share/divide provisions
diicher,selective or discriminating with food; choosy about food
diicher-tancher,choosy about food and drink
diide,to eat until sated; to satisfy fully one's hunger; to eat one's fill
diidii giinii,poisoner; poisonous agent
diidu,time for eating
diifañ,areas of human activity between the forests and the villages
diifañ pákù,Mountain Imperial Pigeon (Ducula badia)
diigo,to eat first (overtaking or excluding others)
diigo- diilo,to compete to finish the food
diigo- tango,food (in general)
diigo-diilo,to compete to finish the food
diigò,matter; issue; work
diiha,clay soil
diiha-diika,unpleasant to eat
diihi-diimi,choosy about food
diihi-tanhi,choosy about food and drink
diiho-luho,to offend
diija,to finish eating
diijo,reward or benefit of eating
diijo-diimyo,to eat frugally
diika,(of food) to try; to have a taste; to eat as a test or trial
diikha,to eat up; to consume food completely
diikhii,to suppress one's desire to eat; to kill the appetite
diikhin,adj
diikho,to consume food in an exagerate and wasteful manner
diikho-tankho,to become poor after spending one's provisions lavishly for enjoyment
diikhu,"leftovers of eatables, e"
diiko,place for eating; dining room; kitchen
diiko-lupe,to meddle
diiko’,hard soil; lumps of soil
diile,"leftovers of eatables, e"
diilii kiiche,bamboo cup traditionally used as a unit for measuring quantities of rice and millet
diilo,(Agr
diilyan paku,paku n
diilyi-diilo,(of a scene) grand/beautiful
diilyo,to eat in an improper way
diima,may not [do]
diima-hama,dishonest
diimane,may not have [done]
diimaniin,[´dimani] n
diimasanii,thing that is not to be eaten; thing that one should not eat
diime,famine
diimo,to stop eating
diinii,eater; one who eats (non specified)
diinii palyo,ritual element of sacrificial altars
diinii-barnii,term of reference describing the wives of the male members of a given patrikin or clan
diiniin,[´dini] n
diinyo-miinyo,to practise
diipa,"part of the marriage ceremony, a symbolic reciprocation made by the bride's family for the bride price (*ari) previously received from the groom's family"
diipa ari,"part of the marriage ceremony, a symbolic reciprocation made by the bride's family for the bride price (*ari) previously received from the groom's family"
diipa’,peel off; detach
diipe,spade
diipu,to eat something by mistake or inadvertently
diipyo,to eat first; to eat before anyone else does
diipyo ahi,(Anat
diipyo-ipo,illicit act
diipyo-nanii,"food like pickle, salad, *pike-pila, betel nut etc"
diipyonii,"one who steals (unspecified); thief, burglar"
diira,to eat up; to finish one's food; to eat all of one's food
diira-lonyan,"n:time in coming years, in future"
diirada,next year
diiran sankhan,sankhan n
diiran yakhan,yakhan n
diire tanche,glutton; (of a person) who eats too much
diiri,buying or borrowing of food (esp
diiri gora,person who assists the priest during *Dree ritual
diiri hulo,prosperity
diiri kholi,"person appointed as a representative of his clan, whose duty is to inform the people about the date of performance of Dree rituals, to collect and store small quantity of rice or millet from each individual in order to meet the expenditure of the ceremony, to prepare rice beer and collect the sacrificial animals"
diiri pachi,belongings
diiri piilo,"the month during which Dree festival is celebrated, traditionally from mid-June to mid-July"
diirii,delayed; late
diiro,medicine
diiru,difficult or unpleasant to eat
diisamanii,thing not to be eaten; thing that one should not eat
diite,to go and eat; to eat out
diitii,to finish a meal
diixw,coarse sand
diiya,to clash over eating something
dije,portable rice beer vessel made of bamboo tube for carrying rice beer
dije’,portable bamboo vessel (esp. for carrying liquor)
diju,swamp
dika,(Zool
dikhii,sand
diko,(Agr
dilan,[dilã] n
dilii,"to hammer in, esp"
diliñ,hair bun; tresses of bundled hair
dimbo,(Zool
dimer,dust
dimpu,white hair
dimu,hair (of head)
dimvr,dust
din,vt-r
dinche,to break by hitting (esp
dinchu,metal chain used to tie male hair knots (*piidin) on the forehead
dingyan ajin,ajin n
dingyo,"to whistle using a leaf, mimicking the cry of a deer in order to lure the animal to come near"
dinkhii,unwashed sticky hair
dinkho,bald head
dinko,metal skewer inserted horizontally through the hair knot of males 
dinko ranyi,metal ring chain put on both the ends of the priest's skewer during important rituals
dinnii,(Zool
dinshii,plaited hair knot fastener
dinso,string used for tying a male hair knot
dinsu,to resort to an ordeal
dinta,(Anat
dintu,to comb and fix hair
dipa,to detach; to peel off
dipe,(Agric
diter ta,"to prepare the soil of a rice field before cultivation, esp"
ditiñ,cliff; ravine
ditiñ ya’ì,landslide; mudslide
dituñ,social event; occasion
dituñ-potuñ,ceremony; social event; occasion
ditvr,lumps of soil (esp. in paddy fields)
diya,(Agric
diyu,marsh; swamp; marshy land
diyu’,marsh; swamp
diì,detach; peel
diñ,pound with something
diñ nanw,pillow; headrest
diñgyañ,fencepost
diñko,metal skewer inserted horizontally through the male hair knot
diñta’,scalp; top portion of head
diñtu,nod
diñtu’,comb
diñxo,bald-headed; hairless
diñxu’,skull
do,be; exist; lie
dobo,to lie down with someone
dobw-takvr alo,Thursday
dodiñ-dolo,world; realm
dogii,to allow someone to lay/sleep with oneself
dogiñ,genesis; origin; creation; migration
dogyo,(of a plural subject) to lie together
dogyo-doyi,randomly mixed up
doha,world; realm
doha liipa,middle of the world
doha-dolo,world; realm
doji ropo,(Zool
doji’ ro’po,Asian Fairy Bluebird (Irena puella)
dokho pilya,variety of *pilya ritual
doku,variety of necklace worn by women
doli,fever; sickness
doli achi,to be feverish
dolya,lightning
dolyan riichan,riichan n
dolyan tachan,tachan n
dolyu,to become lost or forgotten
domin,adj
domiñ,cloudy; rainy
domiñ-doqe’,fatique due to change in weather
domo,to stop; to rest
domolya,to halt; to stop for a while
dompo turla,large bamboo glass
domu,"overcast/cloudy, as of the sky"
don,vt-r
donge,sunny
doniibo,the one who is lying (specified); the lying person
donnya,sunny day
doodu,drop
doofa’,lightening
doolañ,brownish
dooli,sickness; fever
doomu,cloudy; overcast
doopw’,sleep together with head in same direction
doorò,big (of an animal or vehicle)
doosi’,sleep together with head in opposite direction
dopa,pebble or stone as element of a children's game that is favoured especially by girls
dopaa,a children’s game played with pebbles
dopii,"to lie or be lying with heads facing each other, as of two persons sleeping together"
dopu mwdóo,drizzle on a sunny day
dopun miido,miido n
dopya,jungle rat trap using a stone slab
doqe’,sunny; cloudless
dor,become a captive or a prisoner
dor-,"classifier for large-sized quadrupeds, four-wheeled motor vehicles"
dorampa,while; during
doran,[dorã] vi
doran-dotu,adj
dore,(of a four-legged animal or a vehicle) one
dorgi,earthworm
dorii,winter; cold season
dorin subu,subu n
dorkun,[dor´kuŋ] n:num
dorlan,adj
dorma,salary; wage
dormaa,salary; wage
dornii,one who is held in captivity or hostage (unspecified)
dornyo,(of a quadruped or a vehicle) small
dorro,(of a quadruped or a vehicle) big
dorsa,"(of two or more large-sized quadrupeds, four wheeled motor vehicles)"
dorw,winter
dorzó,small (of an animal or a vehicle)
doshi,"(of two persons) to lie or be lying in a 69 position, one's legs facing other's head"
doter,end
dotw,sky
doxo-acañ,corner in the house reserved for ritual altars
doye,was/were
doyi,to sleep together (usually with one's peer group)
doza’,sunny day; cloudless day
doñ,stitch; seam
du,drip (of water)
du-,bamboo section used as a receptacle
duba,(of a plural subject) to sit together
duba- daba,to live together; to stay together
dubi,to sit on someone else's behalf/to sit for someone
dubo,to sit along with others
ducha,to sit at an upper place
dudu,to live; to reside
dudunii,place for living; residence; domicile
dugo-dulyo,to sit in a mixed state; to be seated unproperly or uncomfortably
dugya,to sit wrongly
duha,to sit (in)
duhi,to vacate a sit
duhi yachu,"tobacco box, esp"
duhu,(Agr
duhu-hunyi,(Agr
dui,tobacco
dui gonchi,(Zool
dujo,commission paid to a mediator (*kiri dun; *kiri in) in a trade deal
dukan ato,ato n
dukañ,shop
dukha,to fail to sit
dukhu-palyo,luggage
duko,place (for sitting)
duko-dako,accomodation; place for staying
dukun,n:num
dula,rope to tie dogs
dulu,the system of giving another person the responsibility of looking after a cattle
dulu kanii,person who is entrusted with looking after a person's cattle raised in semi-domesticated condition
dulu káanw,a person who looks after somebody else’s cattle
dulya,to stay or sit for a while; to wait (in a sitting posture); to sit temporarily
dumbin,adj
dumin,adj
dumo,to rest; to have a break; to relax
dumolya,to rest/relax for a while
dumya,(of liquids) to stain by falling onto something
dun,vsuff
dunii,one who is sitting or staying (unspecified)
duniibo,one who is sitting or seated (specified)
dupa la,so that; for; in order to
dupu,(of water or any other non staining liquid) to fall onto something
dupyo,to sit first; to sit before anyone else does
dur,dig and push (for example with the snout of a pig)
duran,[durã] vsuff
durba,(of a plural subject) to dig together
durgu,wooden trough
duri,to start sitting
durii,to sit or be seated face to face
durii-darii,to live together or face to face
durko,to make a hole by digging
dusa,(of two or more bamboo receptacles)
dutin,[du:´ti] n
dutiñ,wooden block for sitting on
duu,paddy for unhusking
duxu-pafo,luggage; household articles
duye,(of bamboo section used as a receptacles) one
duyi,(esp
duñbiñ,bald; hairless
du’,offer something for sale; market
du’,_vr.  throb; beat (as of heart)
du’ca,get excited; be motivated; fired up
du’jo,commission paid to a sale agent
dw,eat; have a meal; dine
dwbe,eat to heart’ content; eat so much one cannot eat any more
dwbuñ,greedy; gluttonous
dwdw’,poison (by eating)	[adj.	poisonous]
dwdw’ tahiñ,poisonous mushroom
dwgoo,food; eatable
dwhi-dwmí,choosy about food
dwho-luho,offending
dwle’,remaining food after consumption
dwli-dwlo,grandeur (of scenary); beautiful (of landscape)
dwliñ,path made by a hunter; hunting track
dwlo,paddy for unhusking [syn.  duu}
dwlw kwce,bamboo glass for measuring rice
dwma-haama,purification ritual
dwme,famine; food shortage
dwmw nanw,side dish
dwnw pafo,an element of a ritual altar
dwnw-barnw,wives of brothers (term of reference)
dwpyo,steal; pirate; plagiarize
dwpyo aíi,canine tooth
dwpyonw,thief; robber; bandit
dwpyo’,eat something to add taste to a meal
dwpyo’-tañso’,eat or drink something to break the monotony or to add taste to the food
dwpyò,"tasty, to eat"
dwpyó,eat first
dwqó,left over food
dwraa-lozañ,in the coming years
dwraada,next year
dwrañ,principal marriage gift to bride’s parent; one who gets such marriage gift
dwrañ-sañxañ,a variety of edible berries
dwri,purchase of food in times of scarcity or in anticipation of scarcity
dwri-hulo,prosperity (in terms of number of children)
dwri’-paci’,luggage; household articles
dwro’,medicine; drug
dwru,tasteless; unpleasant to eat
dwrw,late; delayed
dwsw,edible; food
dwxu’,left over food
dwxu’-tañxu’,left over eatables
dwzo-mwzo,practice; rehearse  [n.  rehearsal]
dw’,have adverse or allergic reaction to something ingested
dáa,take step; pace; tread
díi,plant; transplant; implant
díiñ,curse
dù,dig; excavate
dùu,sit
dùuha,sit down
dùuhi,vacate a sit
dùuko,place of residence; sitting place
dùuko-dako,accomodation; address
dùukuñ,meeting; gathering; assembly; congregation  [v.  sit together]
dùumo,take rest
dùusa,sit at a distance
e,"to shoot, with a bow or a gun"
e byo,Yes (assertive)
e'ngo,remaining of a shot (arrow or target)
ebo,to shoot along with someone
ebyosa,interjectiont to express agreement
eda,to shoot successfully; to make a good shot
eem,yes
efañ,ear of grain
ego,"arrow shot or gunshot, as an action yet to be performed"
eha,make ritual offerings to nature including forests and agricultural fields
ehanii,collective ritual marking
ejo,benefit/award/reward for shooting
ejo-eyo,"to shoot haphazardly around, as with a gun"
ekha,to miss a shot; to miss a target when shooting
ekhii,to kill by shooting
ektor,actor
ela,emphatic particle occuring clause-finally
elañ,"a variety of red rice, usually late ripening"
eli,paddy seed
eli pinta,gourd container filled with rice or millet beer that the bride carries to her husband's house during *eli baniin ritual
eli yagii,"basket containing some newly reaped rice, maize, two ginger plants, two eggs, a gourd filled with beer and a hen with her chicks, that the bride carries to her husband's house during *eli baniin ceremony"
elu,flute
elu be,to play flute
elì,paddy seed; paddy preserved for next season’s sowing
elù,reed flute
ema,dream; reverie
ema ma,to dream
ema tupe,dreamy (of a person); confused person
embin,[em´bi] n
embin khanchu,khanchu [em´bi ´xãtɕu] n
embin yadin,yadin n
embiñ,"uncooked, husked rice"
embiñ xañcu,cane or bamboo basket used as rice container
emer,dew (droplets of water)
emo,paddy; unhusked rice
emo danii,(Agr
emo dannii,(Agr
emo henii,winnowing of rice
emo piilo,eleventh lunar month of the year
empii,(Bot
empu,"a variety of white rice, usually late ripening"
empun,[´empũ] n
empw,paddy husk
empya,cotton
empya duti,(Agr
empya kormo,cotton seed
empya sanii,(Bot
empya tiyo,(Zool
empyan,[em´pjã] n
empyan sudu,sudu [em´pjã sudu] n
empyañ,grain for poultry
empyañ sudu,bamboo container to store grains for poultry
empya’,cotton; wool
empya’ tiyo’,silkworm pupae
emvr,dew
enda,fifth lunar moon; May
enda piilo,fifth lunar month of the year
enda pillo,fifth lunar month of the year
endi,rice plant; rice seedling
endi ali,to sow rice
endi pulye,Assamese silk cloth
ene’,without reason; without purpose; without work
eni,rice seedling; sprouted paddy
enii,paddy leaf
enkhe,(Bot
enkho,paddy stalk
enko,(Agr
ensu,dud rice; rice plant that has failed to fruit and produce grain; failed rice crop
ensu piira,shameful; discgraceful
entii,(Agr
entii pere,(Agr
entii pi,to cut/harvest new rice by cutting the ear off with a small sickle into a basket
entii piilo,tenth lunar cycle of the year
entii pinii,harvesting of paddy
entii tari,(Bot
entii yagii,"variety of agricultural basket which is also used as a measure of capacity, roughly equivalent to 35 kilograms of unhusked rice"
epe,(Bot
epe apu,pumpkin flower
ere,(Anat
ere’,belly; stomach
eñbiñ,husked rice
eñjañ,rainy season	[Ent.	eñdi + ajañ]
eñku,paddy of previous harvest
eñsu’,fail (esp. of rice plant; failing to fruit)
eñtw,paddy harvest
eñtw patañ,labor gang for paddy harvesting
eñtw pvrv,large cane mat used for temporary storage of harvested paddy in the field
eñtw pwlò,tenth lunar month; October
eñtw tari,kiwi (Actinidia sp.)
eñtw yagw,medium sized cane basket
eñxo,rice stalk; portion of a stalk
e’,shoot
e’ciñ,skilled in shooting
e’da’,shoot at target
e’la’,good in shooting
e’pe,pumpkin
e’xa’,miss a target by shooting
e’xw,kill by shooting
fafu,an elemenet of sacrificial altar
fagya,usual; normal; habitual; customary
fanw,one who blesses; God
fapu pufe,an ordinary customary white shawl
faqa,flow in (of water)
fañ,bless
fañca,flow up (of water); overflow
fañpiñ-cañtuñ,protective deity in the household
fañso,metallic skewer
fa’,lick
fa’,burn; singe; smolder
fa’co,tiny metal bell
fa’ge’,catch (fire)
fa’ka,taste (by licking)
fa’pyo,dry cultivation area (esp. for millet)
fe,wade through
fego,threshold; entrance
few days,lonyi-lohin
feñ,measure with outstretched hands
fe’,roll something (esp. thread between the palms)
fe’be,larva of water beetle
fe’ko,doorlatch
fe’po,join a thread by rollin on the palms
fe’pu,doorlatch; horizontal piece of bamboo holding the framework of a door
fihe,post. till; until
fiifi’,horrifying
firo toko,uvula
fiyo’,portion of meat which is the extra fat covering of the stomach
fi’cu pwzañ,ceremonial friend who exchange the heads of sacrificed pigs
fi’do,food for pigs
fi’kuñ-firi,wrinkled; crease; pucker; crinkle
fi’la,the legs of the pigs sacrificed during Myoko which are usually presented to the cousins
fo,jump
fofi’-coci’,rogue; an unreliable person
fohe,one type; one variety
foo,tease out the outer layer of a bamboo as a rope
fo’gañ,blunt edge of the sword
fo’li,machete handle; handle or butt of a machete; hilt
fo’ro,sharp edge of the sword
fì,become
fíi,slither (as snakes do)
fòobó,jump across
fòohá,jump in
fóo,"collect, esp. firewood"
ga,scold; rebuke; reprimand;chide
ga abhor,kacho
gaambw,border; brim; boundary
gaarò,"large, as a field"
gaba,"(of a plural subject) to catch, grab or seize something together"
gabo,"to catch, grab or seize something with the hand along with someone"
gacha,to go up to scold someone
gaga,quarrelsome
