English,Apatani
defecation,saniin
defer,pakan
delayed,diirii
delicious (to eat),diipyo
dent (by pressing down),tenka
delighted,hempyo
demarcate,khelo
demarcate by drawing a line,riche
demolish,pya
den,asi
depression,paka
descend,to
descend back,tokur
descend from,bupin
descendant,oho ashi
desert (run away),harku
deserted (surroundings),tayan rara/taya rara
desirous (of doing something),-nan
destroy (violently),pudu-punyu pu
destruction,miiduniin
detach something by lifting it,josu
deter (from doing),lupya
detest,kacho
dew drop,enjan/injan
de-weed,tami mii
de-weed (in rice field),aru mii
diaphragm,hapu
diarrhoeal infection,ichan
dicrurus bracteatus,palyan
dicrurus macrocercus,chikhii-chikho
differenciate,ka'ngu
difficult (to do something),-ru
dig (with a hoe),ta
dig out (excavate),dur
dig (underneath something),rapii
"dig up (plants, with complete removal of roots)",bu
dilute,apyo
dim,jimi-jama
dimple,golu paka
dinner,alyin apin
dinner time,apin piichan miidu
dioscorea alata,in'yin
dip one's head into the water,nyambun/nyambyun
direction,dalyi
direct,parda
dirt (of the feet),liikhiin
dirty,kacho
dirty,miibe/miibyu
disease,achi-ahe
disapprove,kakha
disc/disc-like object,bar-
discernment,-cher
discourage (from doing),lupya
discouragement,satun
disembarrassed (free from worry),henser
dish (plate),"paku (Ha, Bu, Ho)/paka"
disheartened,hensu-hera
dishonest,dema-hama
dishonest act,dema-hama miiniin
dishonour,asu-asa
dislike (someone),karu-taru
dismantle,pya
dismember (slaughtered animals),khu
disobedient,dema
display,tonkin
dispose of,to
distance,ado
distant,ado
distinct,-sa
distinguish (discriminate),henngu-here
distressing,hennga-henka
distinct,-sa
distribute,pe
distrust,hemmo
disturb,miiko-miipe
dive in,chuha
diverge (from one's path),sargya
divert,ingu
divide a paddy field,garche
divide,-che
divide (a garden plot into smaller plots),papii
divide (food),diiche
divide (provisions),diiche-tanche
divination,miyu kaniin
divination (through examination of the liver of sacrificed chicken),koniin
divination (through examination of eggs),piniin
do,mii
do (actually),miije
do (again),miiti
do (along with someone),miibo
do (appropriately),miidi
do (as a trial),miika
do (back),miikur
do (before someone else does),miigo
do (before anyone else does),miipyo
do (beforehand/ahead of time),miimyo
do (by oneself),miisu/miisii
do (confusely),miikhiin-miimii
do (deliberately/purposely),miidin
do (early),miikun
do (easily),miipyo-miipa
do (excessively),miihii
do (differently from before),miigu
do (for feeding oneself),miido
do (for free),miinyo
do (for the first time),miitu
do (from a distance),miisa
do (improperly),miilyo
do (inappropriately),miibur
do (in a systematic way),miigo-biila
do (in excess),pale mii
do (in vain),miinu-miina
do (ingeniously),miicher mii
do (on someone else's behalf),miibi
do (over and over again),miije-miije
do (secretely),miisi
do (someone a favour that he/she has the obligation to return),miigyo
do (the last thing),miite
do (things one after the other),miiyan
do (without a set purpose),miimin
doe,dinnii/siidin-dinnii
docile (obedient),"denki (Ha, Bu)/dinki"
docile (not ferocious),amin
dog,aki
dog excreta,aki ipa
dog hair,aki amu
dollarbird (eurystomus orientalis),piise
domestic animals,aki-paro
domestic fowl,tunii ro
dominate,halo
doodlebug,iichi padu
door,alye
dose,diitun
doubt,hemmo
dove,paku
double chin,nyanyu
doze off inadvertently,irun
drag,se
drag (along by a rope),bo
dragonfly,konchi (Hi)/gonchi
dragonfly larva,tasin
drain (water),supuyu (Hi)/supyu (Ha)/supu
drape the leg over something,paje
draw (extract water),su
draw (line),ri
draw (mark),tiho
dream,ema/ima
dream,ema ma/ima ma
dreamy,ema tupe
drenched,pachosiinyo
dress up,khelii
dressing style,giiju
dried,pitan
dried chilly,yorsin/tero yorsin
dried chilly powder,yormii
drink,tan
drink (along with others),tanbo
drink (before someone else does),tango
drink (before anyone else does),tanpyo
drink (by mistake/inadvertently),tanpu
drink (for a long time/beyond the alloted time),tankan
drink (in a wasteful manner),tanbi
drink (in an improper way),tanlyo
drink (in one gulp),kudu
drinking,tanniin
drive (vehicle),har
drive (back),harkur
drive (an animal),dar
drive (fast),harga
drive (the wrong way),hargya
drizzle (on a sunny day),dopun miido
drool,ri
drop (liquids),du
drop (a little food/drink from the dining table as ritual offering),piicho
drown,puha
dry (by blowing),hepi
dry (under the sun),alo
dry (by setting out in the sun and wind),jarpi
dry field,lyapyo
dry up,gya
duck,paje
duckling,paje atu
duculia badia,diilyan paku
dull (blade edge through repeated use),pakhiin
dung beetle,"ipa chunyi (Ha, Bu)/toro"
dysentry,ichan
each (of),ako tare (Hi)/ako tere (Ha)/ako ter (Bu)/ako tiire
each (one),ako abi
ear,yaru
ear (left),ruchi yaru
ear (right),rubi yaru
ear (upper part),yaru-rutu
ear drum,yaru-rubu
ear lobe,yaru pinmi/yaru-rupin
ear lobe ring,rubin/yaru-rubin
ear of a crop,elyan
ear of rice,empii
ear piercing hole,yaru ubu
ear piercing hole (secondary),rutin
ear wax,yaru ruhi
early,-kun
early (in the morning),aro konchi ho
early (morning),aro konchi
early ripening rice (generic),mipya
earn,la
earring,rupin/yaru-rupin
earth (soil),kiidi
"earth (ground, world)",myobyu
earthfall,chabya harniin
earthquake,myobyu huniin
earthworm,dorgi
earwig,yapin-yaru
ease tension,yarlo
easily done,-pyo
east,tapan
east facing side,myobya
easy,-pyo
easy (to do),miipyo
easy (to say),lupyo
eat,dii
eat (by mistake/inadvertently),diipu
"eat (first, before someone else does)",diigo
"eat (first, before anyone else does)",diipyo
eat (for refreshment),diipyo/diipyo-diiso
eat (frugally),diijo-diimyo
eat (one's fill/until sated),diide
eat (out),diite
eat (to pass time),diimin
eat (up/all of one's food),diira
eat (voraciously),diiga
eater,diinii/diiniibo
eating,diiniin
echo,yalo bi
echo (back),yalo bi
ecthyma,buli une
edible,diisii
educate,sangii
eel fish (macrognathus pancalus and aborichtys elongatus),ribu ngiiyi
effort,miiter
egg,papu
egg shell,pakhu/papu-pakhu
egg white,papu alyo
egg yolk,hayan/papu hayan
egoistic,pimbu
eighteen,alyan hela pinye/alyan le pinye
eighty,pinyi khannge
either...or,jalo ... jalo
either (each of),ako tare (Hi)/ako tere (Ha)/ako ter (Bu)/ako tiire
elatostema platyphyllum,hiipe haman
elephas maximus,siitii
elbow,ladu miru (Hi)/ladu mirii (Ha)/ladu milyin
elder brother (term of address),ate
elder brother (term of reference),atebo
"elder brother (term of reference, male speaking)",aban
elder brother's wife (term of address),achi
elder brother's wife (term of reference),achibo
"elder sister (term of address, male speaking)",ata
"elder sister (term of address, female speaking)",ami
"elder sister (term of reference, male speaking)",atabo
"elder sister (term of reference, female speaking)",ami
elder sister's husband (term of address),ahu
elder sister's husband (term of reference),mabo
elephant,siitii
elephant tusk,siitii ahi
elevation (erection),achaniin
eleven,alyan hela ako/alyan le kun
eleventh lunar month of the year,emo piilo
elongated,sorjo
elongated (stretched out),-jin
embankment (along a stream),padin
embarrassed,hiinyan
embroider,he
embroidery,siipi
emerge,kar
employment,sakori*
empty,ara
enclose (by fencing),go
encounter,karii
encourage (adults),tamo
encourage (kids),mamo
encounter,kapasiiniin
end,doter
"end (thread, rope)",nyatan
energetic,chorke (Bu)/chorkii (Hi)/chake
energetically,-khe
enicurus scouleri,chilyu
enlarge (by pulling),tiiro
enmity,hadii mikha
enormous,kaye/kahe
enough for,-ye
enter,a
entertain oneself,somin-ngarmin
entrance (of a hole),ugun
enthusiastically,-ji
enumerate,khii
envy,kau
epilepsy,tayin siitin
equal,ahin
equal (to),kalyan
equalize (in height),nulyan
equally,ahin-ahin
erect (building),acha
erection (building),achaniin
eurystomus orientalis,piise
even (edge),tulyan
even a little,iche heter
even edge,tulyan
evening,alyin
ever,-bii
every,karmyan
every night,ayo-ayo
everybody,ako-abi
everyday,alo-alo
everyone,ako-abi
evident,darii
exactly,nyan
exaggerated,pole
exaggerately,polepa
examine,kakha-kari
excreta (animal),ikha
excreta (human),ipa
excuse,agyan-aye
exhale,salin
exhausted,"rengii (Ha,Hi)/renge (Bu)/renge pehe"
exhibit,tonkin
expected,lyagya
expel,nempa
expel/eject water from one's mouth,hun
expensive,khiinii
explode,bu
express (one's dissent by eye blinking or winking),miku-milya
expulse,nempa
extend,miiro
extend (hand),yu
extend (one's hand across),yubo
exterior,ago
extinct,chi
"extinguish (fire, light)",-mi
extract,he
extraordinary,kaho tamo
eye,ami
eye (left),michi/ami-michi
eye (right),mibi/ami-mibi
eye crap,miju/ami-miju
eye iris and pupil,ami nuri
eye white,ami horpu
eyebrow,mitin amu/ami mibu
eyelash,mibi amu (Ha)/mibyo amu (Bu)/ami mibyo
eyelid,milyo/ami-milyo
fabricate,helin-miilin
face,nyimo
face to face,-rii
"face (something or someone, lying position)",dorii
"face (something or someone, sitting position)",durii
"face (something or someone, standing position)",darii
facial tatoo,tiiphe
faeces (animal),ikha
faeces (human),ipa
fail (to see something),kakha
failed (rice or rice crop),ensu
fall,hu
fall (rain),hu
fall (as a shower),jari
fall (into something),huha/hua
fall down (by dropping),huyi
false,amu
familiarize with,hennyo-miinyo
fan palm,toko pata*
fare well,sangii-gyagii
fart,piidi
fart,piidi
fashionable (person),yalu-yabya
fasten (bind tightly),riiti
fasten (lock),hepin
fasten (door),ratin
fastener (necklace),sango tape
fastidious about drinking,tanhi-tanmi
fastidious about food,diihi-diimi
fat,jantu
fat and round,utun bulun (Hi)/tatun bulun
fat (of pork),hulyi
father (term of address and term of reference),aba
father's brother (term of address),ate
father's brother (term of reference),atebo
father's brother's wife (term of address),achi
father's brother's wife (term of reference),achibo
"father's brother's son (older than the speaker, term of address)",ate
"father's brother's son (older than the speaker, term of reference)",atebo
"father's brother's son (younger than the speaker, male speaking, term of address)",anu
"father's brother's son (younger than the speaker, male speaking, term of address)",anu
"father's brother's daughter (elder than the speaker, term of address)",atabo
"father's brother's daughter (elder than the speaker, term of reference)",atabo
"father's brother's daughter (younger than the speaker, male speaking, term of reference)",barmii
"father's brother's daughter (younger than the speaker, female speaking, term of address)",anu
"father's brother's daughter (younger than the speaker, female speaking, term of reference)",anu
"father's brother's son's wife (older than the speaker, term of address)",achi
"father's brother's son's wife (older than the speaker, term of reference)",achibo
"father's brother's son's wife (younger than the speaker, term of address)",amii/amu
father's brother's daughter's husband (term of address),ahu
father's brother's daughter's husband (term of reference),mabo
father's sister (term of address),ata
father's sister (term of reference),atabo
father's sister's husband (term of address),ahu
father's sister's husband (term of reference),mabo
father's sister's son (term of address),ya
father's sister's son (term of reference),ohobo
"father's sister's son's wife (younger than the speaker, term of address)",amii/amu
"father's sister's son's wife (younger than the speaker, term of reference)",nyahii
"father's sister's daughter (older than the speaker, term of address)",ata
"father's sister's daughter (older than the speaker, term of reference)",atabo
"father's sister's daughter (younger than the speaker, term of reference)",barmii
father's sister's daughter's husband (term of address),ahu
father's sister's daughter's husband (term of reference),mabo
"father-in law (spouse's father, term of address)",ato
"father-in law (spouse's father, term of reference)",atobo
fathom,"lyen- (Ha, Bu)/lyin-"
fear,biiso
fearsome thing,biiso
feast (given to celebrate the arrival of a newborn),niipo/niipo apin
feather,piile
february,pager piilo
fee,atu
feeble,aju
feed (animals),ho/oho
feed (esp. fowls),api/apye
feed (of animals),honiin.
feed (oneself),-do
feed (with liquid or semi-liquid food),asin/sin
feel (dizziness after drinking or smoking),tankhiin
feel (free to come),apyo
feel (guilty),hempyo
feel (hot),bemya
feel (intense heat),akha-aya
feel (lazy),liibe-labe
feel (nauseous),banan
feel (sympathy for someone),aro
feeling,aha
feeling (lazy),liibe-labe
feeling (uncomfortable),ahi-are
fell (tree),tii
female,biinii
female cat,minii/ami-minii
female human individual,nyimii
"female in-law (of the generation preceding that of the speaker, term of address)",ayo
"female in-law (of the generation preceding that of the speaker, term of reference)",ayobo
female lover,mundo
female pig,alyi-lyinii
female section (of a traditional house),"nyimii ingya (Hi, Ha)/nyimii dugya"
femur,liiban alo
fence,go
fences (general),narun-denii
ferment,lyikin-lyiri
fermentation starter,ipo/ipyo
fermentation starter (new),ipo-poli/ipyo-pyoli
fermented rice,pona
fern (general),tari
fern (edible),hiika haman
fern bangle (for children),takho gakhe
ferret badger (melogale sp.),siinyi
ferry,rebo
fertile,-bu
fertile (plot of land),barbu
fertile soil/earth/ground,dibu/kiidi-dibu
festivals,ditun-potun
fetch (liquid),ha
fetch (firewood),lyo
fever,doli
feverish,doli achi
fewer,icheya
fibula,liipya alo
fiddlehead (fern),hiika haman
field (for rice),aji
"field (adjacent, downslope)",garpii
"field (adjacent, upslope)",garta
field (lowermost of someone's fields),garko
field (uppermost of someone's fields),gardin
fifteen,halyan hela ya'ngo/alyan he ngo
fifth lunar month,enda piilo
fifty,alyan ya'ngo
fight,gambyo/gambu
fight a battle,nyibo pasu
fight about,miiya
fighter,pasunii
figure (reflection cast by the sun or by a mirror),yalo
figure (reflection cast in water),yasi-yalo
fill (a hole with soil),abyun
fill (liquid),hi
filter (liquid),len
filter (bamboo made),sader
filter (for rice),hurta/apin hurta
filter (for beer),o sader
filtered liquid (obtained from ashes of crops and certain ferns),pila
filtering,lenniin
filth,kacho tanii
filth (accumulated on the hands during the cold season),lakhiin
filtrage,lenniin
fin,ale/ngiiyi ale
find,kapa
find (by chance),pa
find out (by seeing),kapa
fine (customary),dapo
fine (not coarse),amu
finger,lachi
finger knuckle,lachi paban
finger nail,lahin
finger ring,lachan
fingertip,lachi mitu
fingered millet (eleusine coracana),sarse
finish,lu
finish (one's food),diira
finish (the binding of something),abyun
finished,-nya
fire,yamu
fire accident (large scale),muchu (Ha)/miichu (Hi)/myuchu
firefly,tahu yamu/tau yamu
fireplace (primary),ago ugu
fireplace (secondary),ura ugu
fireplace border,piirii
fireplace shelving complex,dareke
firewood (raw),yasan
firewood (half-burnt),mutu/yamu mutu
firewood bamboo),saro
first,kapyo
first (before anyone else does),-pyo
first (before some other action),-ranso
first lunar month of the year,murun piilo/murun
first time,-tu
fish,ngiiyi
fish (dried),ngiiyi sankho
fish owl (ketupa flaviceps),ngiila larii/ngula larii
fish pond,siiper
fish scale,ngiiyi pakhu
fishbone,ngiiyi alo
fist,lapu/ala-lapu
five times,u'ngo/u'ngohe
fix (two things together by gluing),gedin
flame,miilyo/yamu miilyo/yamu mulyo
flap,lebe
flash,kiibyo
flashy (showy),lyolichochi
flatten (by beating),danta
flatten (underfoot),nyata
flattened object,pata
flavourless,sarsii
flea (dog),aki tiikhe
flesh,aya
fletches (on arrow tails),murto/morto
flip,byar
flirt,soka
flirt,sokaniin
flittingly,miiri-miiri
floating plant (general),tapan
flock (of animals),ton-
flour (rice),yatan
flow,bi
flow (across),bipe
flow (in),lyanga
flow (in upward direction),lyancha
flow (out),bilin
flower (bamboo),len
fluent (speech),dider
fluid,ala
fluid (from body),api/api ala
flute,elu
flutter (eyelashes),mibe-mibe
fly (generic),tami
fly,go
foal,gora atu
"fold (paper, cloth)","perki (Ha, Hi)/pyerki/pyarki"
fold (so as to give a cylindrical shape),karki (Hi)/kibu
fold (so as the two ends join or overlap),"perpo (Ha, Hi)/pyerpo/pyarpo"
follow (someone),miijomon
follow (by walking),injomon
fondle,hika
food (cuisine),diinan-tanannii
food (for pigs),lyido/alyi-lyido
food (taken along with beer),diipyo-tanso
food leftovers,dii'ngo
fool,piicha
foolish,piicha
foolishness (nonsense),rungyaniin/runniin
foot,ali
foot (left),liichi-ali
foot (right),liibi-ali
footpath,more lenda
for (the first time),-tu
for real,-je
for whom,hupa
for you (single),niipa
for you (dual),niinyipa
for you (plural),nunupa
force (someone to do something),khelii
forcefully,-khe
forcibly,-khe
forearm,lasin
forearm span,ladu
forefathers,aba-apa atan
forefinger,ladii
forehead,tiirii
forehead (of cattle),tute
foreigner,nyibo
foreign place/country,nyibo ganda
forelimb (of animals),ala
foremost,kapyoja ho
foresee (divine),miyu ka
forest,more
forested area (in the vicinity of the village),myogo
forested area (far or deep),myora
forested area (deepest),myobu
forested areas,sanii-sanko
forest bug (green),uyi atu
forest eagle-owl,ngiila-larii/ngula-larii
forest land (jointly held by all members of a clan),halu more
forest plantations (general),sadi-sapa/sali-sapa
forests (general),more-sansu
forge,phu/suphu phu
forget (to include),-go
forgive,helo
forgiveness,helonii
forked bamboo,tarkho
forktailed swift (apus pacificus),piirii
formerly,bilo
fortune,abur-aro
foul-smelling,nenkhu
four days hence,riikhiida
four times,upii/uphe
fourteen,halyan hela piilye/alyan le pe
fourth lunar month,halyin piilo
fourty,alyan piilye
fox,tali/yali
fragile,arin
fragile (position),miiku
fragrant,neli
frail,iju (Hi)/koju
frame (of a bamboo sliding door),chipii/alye chipii
frank and open,niitiisiirii
fraud,toganiin
freckle,tasii
free (not busy),hapun
french bean,man perun/man peron
frequent,kiiran
frequently,kiirampa
fresh (not spoiled),lela
friend,ajin
friend (intimate),ajin aran
friendly,luji
friends,ajin atan
friends (who sleep together),doyi ajin
frighten (birds away),piidi miilun
frighten (someone verbally),lulun
frighten (someone by one's acts),miilun
frightened,biiso
fritter (away),miibi
frog,tatii
from (far),-sa
from (the middle of something),-po
front (door),byago alye
front (side of a house),empun
"front (space of the house, from the entrance door to the main hearth)",ago empun
front (veranda),byago
frontside,hata
frown,nyabe
frown (at someone),nyabe bi/nyabe bekin
fructify,hilin
frugally,-jo...-myo
fruit bud,ani
frying pan/pot,chanko
full,pote
full (moon),harbyan
full of weeds,biiyo
fully grown,santer
fully grown (plants),sambyan
fumigation (of paddy against rodents),iirii/kubu iirii
funeral chant,siima kheniin
fur,amu
furuncle,huli
future,asaniin
gain benefit from saying something,lugin
gallop,yo
gallus gallus,parsin
gap (space in time),hapun
gap (between two fingers),lachi papei/lachi papyo
gap (between two toes),liichi papei/liichi papyo
gape,gonko
gapingly,gonkopa
garden (near the house),balu
garden (distant from the house),yorlu
garden stake,turtu-nanii
gargle,gompyu (Ha)/gompi
garrulous,yaje
gasp,sana
gate,hagya
gather,nu
gaze,kage piicha/kago piicha
germinate,bu
germination (of plants),buniin
get,pai*
get accustomed to,hennyo-miinyo
get angry (at the slightest cause),hadii-diiga
get burnt,yabya-yalya
get bored (of doing something),-be
get heated,yabya
get married (for a male),nyimii la
get off the bed,bari
"get one's fingers, etc. pinched",miini
get oneself run over (by a vehicle),harje-koje
get ruined,yadu-yanyi
get something stuck to one's buttocks,kota
get the smell of something,nempa
get to,-pa
get together,akun
get up,guri
ghost tree (sterculia urens),niiji sanii
gibelion catla,kopii ngiiyi
giblets (of fowls),paro-pakhii
gift,biniin
gigantic,kaye/kahe
ginger,taki
ginger (small variety),kichi taki
gingiva,hilu
girdle (female),biyan/khiipo biyan
girl,nyimii
give,bi
give (temporarily),bilya
give (in advance),bimyo
give away,bipa
give back,bikur
give insight,tonser
give light,behu
giver,binii/biniibo
gizzard,artu
glance,karo
glare,kanyan
glide down,ya
gliding,janiin
glittering,kiilo/kiilyan-kiilo
globe,apu
"gloomy (face, look)",moyu
glow,hu
gluey,jebi
glutton,diire tanche
gluttonous,diibun
go (vehicle),har
go astray,ngo
go-between,gyuntan
go in,a
go (around),inhii-inkhe
go (home),a
go overtime,-kan
go up/northward,cha
goat,siibin
goitre,giipii
gold,ayin
golden (colour),pyamin
golden-throated barbet (megalaima franklinii),piige
gonorrhoea,tayin koya/tai koya
good,aya
good (at something),-la
good (to eat),diipyo
good-looking,aya
good-manner,biiju-miiju
goose,pakan
goose pimples,uyi pami
gossip,khan
gossip,khanniin
grade,hakun-hanyi
gradual,haso
"grain (of cereals, fruits, etc.)",kormo
grain for poultry,empyan
grainlike thing,"per- (Ha,Hi)/pyar"
grainy (appearance on skin),tabu-taru
granary,nesu
granary (small-sized),nesu-suchi
granary (large-sized),nesu-suro
grandchild,oho ashi/oho asi
grandfather (term of address),ato
grandfather (term of reference),atobo
grandmother (term of address),ayo
grandmother (term of reference),ayobo
grandparents,ato-ayo
grape,shati
grasp (with pincers),pyo
grass (for use as animal feed),hiisan
grass (variety for cattle),polan
grass (variety),tagin-taje
grasshopper,koha/kuha
grave,byu
gravel,siikhii yalan
gravy,ala
grazing grounds (in general),lutii-giira
grease,hulyi
great,kaye
great barbet (megalaima virens),pengu
great hornbill (buceros bicornis),piigya
greater plantain (plantago major),mepi haman
great grandfather (term of address),akha ato
great grandfather (term of reference),akha atobo
great grandmother (term of address),akha ayo
great grandmother (term of reference),akha ayobo
greedy,chahi/chayi
green,salyi
green rat snake (rhadinophis prasina/ptyas nigromarginata),biishan/biihan/bushan
green vegetable,haman
greenish-blue,jiji
grey (colour),mubu/mubu-mulu
grey hair,dimpu
grin,hile
grin (at someone),hiter
grind,parmii
grind (esp. dry things),kere
grind (esp. millet),rii
groan,siikhin
groin,harche
group,apun
grow (from a tree stump/rhizome),armyun
grow (out of proportion),go
grow up,sancha
grow up (horn/tooth),po
grue (colour),jiji
"grunt (of a pig, e.g.)",koe
grus nigricollis,kenda/kena
guard,dagur
guest,nyibo
guide (in life),sangii
gulp down,sayi
gulp down (beverage),kudu
gum (vegetable),sankhan
gums,hilu
gun,mubu (Hi)/bebu (Bu)/bibu
gunny bag,niire pulye
gusto,-ji
guts,akhii
gymnostema pentaphyllum,riiko
habit,-nyo
habitually,-nyo
hack (with a machete or sword),patu-papo
hack (with a blade or knife),jotu-jopo
"hack (rice, millet)",gyatu-gyapo
hacked (to pieces),-tu...-po
hail (frozen rain),tari
hailstone,pembe
hair,dinmu/dimu/adin-dinmu/adin dimu
hair (body),amu
hair (infant's),denge
hair clip,adin byokho
hair knot (for males),piidin
hair oil,kutu
hair plait,"pyarpin (Ha, Bu)/pyapin"
hair plait (for males),"piidin pyarpin (Ha, Bu)/piidin pyapin"
hairy bittercress (cardamine hirsuta),aji padii haman
hairy caterpillar (variety),yalan pombo
half,-chehe
half (of what has been cut),papo
half (of a mesured quantity of liquid),tupo
half (of what is counted),khiichehe
half (of what has been split into two parts),khachehe
half (of what has been cut/split with a machete or sword),pachehe
half-burnt/roasted,yabun
half day,lopo
half-heartedly,-tii...-rii
half-mad,runku-rulya
hallucinate,kamur-tamur
halt,domolya
hammer (in),dalii
"hammer (in, disc-like objects)",dilii
hamper,hatu-hapo
hand,ala
hand (left),lachi/ala-lachi
hand (right),labi/ala-labi
handful,gya-
handicaped,liicha-lacha
handicaped person,liicha-lachanii miyu
handicraft,biti yamo
handle (to be grasped),gagin/gagin-nanii
handle (agricultural tool),hukho
"handle (machete, sword)",lyoli/ilyo-lyoli
handle (for carrying something),jogin
handshake,ala laniin
handy,henji-hempa
hang (vertically),shor
hang (from a rope),pa
hang (someone),paser
hanger (made of a truncated tree branch),lochi
hanging bridge,shuhun
happen,hoi*
happy (derogatory),hago
happy (to do something),-bi
hard,aler
hard (of hearing),tahii
hard (to convince),yarru
hard soil,diko
hard work,kiiran
hard working,kiiran
hardness (of material),alerniin
harvest (cereals),pi
harvest labour team,entii patan
harvest ritual,emo ditun
haste,anii
hastily,niihii-niiha
hastily and improperly,-kun...-mu
haul,adu
haughty (attitude),hentii
haughty (way of speaking),gontii
have (possess),bu/bii
have (as body parts),gii
have (a break),dumo
have (a look at),kaka
have (a thorough look at),kakha-kari
have (a meal),apin dii
have (an accident),podo
have (diarrhoea),akhii har
have (fun),somin-ngarmin
have (loose motion),akhii har
have (sexual intercourse with),ishu
have (the last word),lukha
have to,-ken/-kin
having edges that are jagged from injury,paja
hay,kusu
haze,murpa sai
hazy,jimi-jama
he/she,mo
head,adin
head (of an agricultural labour group),patan ato
head (of femur),liiban alo papu
head louse,"takhe (Ha, Bu)/tiikhe"
headstrap,se
healthy (infant),babu
hear (about),tapa
hear (uncorrectly),tagya
hearing,rubyi
heart,aha
heart breaking,hache
heartbeat,aha duniin
hearth,ugu
hearth (primary),ago ugu
hearth (secondary),ura ugu
heated (result),-bya
heavy,ayin
heavy and in good health (for babies),riilan
hedge,batin
hedge (of barbed bamboo/wood),oho
hedychium sp.,papi apu
heel,liidu
heft,jo
"heifer (cow, mithun)",siido
help,kalyan
help (each other),miitan
help (one another reciprocally),miigya
helper,miiriibo
helpfully,-gya
hen,ronii/paro-ronii
her/his,moka
her/him,momi
herd (of animals),ton-/tan-
hers/his,mokii
herself/himself,mosu
hesitancy,apun-aka
hiccup,kiichi
hidden,-si
hide (by pushing/stuffing),pechun
hide (by lifting or hefting),jochun
hide (by taking with the hand),lachun
hide (by throwing),kuchun
"hide (in a bag, sack, etc.)",sanchun
high,oho
high jump,iisan
high jump competition,dulu iisan lyokasiiniin
higher,of a village n. nendin
hilarious,hago
hillock,puchun
hill-tribal,misan/mishan
him/her,momi
himalaya blackberry (rubus procerus),tiire jilyin/tiire jilyun
himalayan black bear (selenarctos thibetanus),siitin
himalayan cuckoo (cuculus saturatus),tiip pii pii piita
himalayan hemlock (tsuga dumosa),liiri piisa/niiri piisa
himself/herself,mosu
his/her,moka
his/hers,mokii
hit,miine
"hit (repeatedly, with stick or tool)",dan
hit (with a machete or sword),pa
hit (with an axe or a hoe),ta
hit (with stick),hi
"hit (oneself, with a machete or sword)",pasu
"hive (of bees, wasps, etc.)",aru
hoarse (voice),bamban/bamba
hoe,dipe
hoe,o
hoe off,opa
hold (keep),bii
hold (firmly in a basket),hatu
hold (one's legs together when sitting),koju
hold (in arms),go
hold (with the tongs),pyo
hold/express a different opinion,pyokho
"hole (in a cloth, e.g.)",uko
hole (in a wall),papei
hole (in the soil),rabu
hole (result),-ko
hollow,rabu
hollow (of the knee),liige
hollowed,paka
homestead,ude nenchan
honest,lotii
honey,nyanyi
honey bee,ta'ngu
honeycomb,nyanyi aru
honey collection,lenniin
honour,hengi-henthii
hook (for hanging something on the wall),lochi/lobu-lochi
hoop earrings (for females),larin
hoop earrings (priestly),laran
horizontal,sida
horn,"arii (Ha, Bu)/iirii"
horn bugle used in rituals,siirii
hornbill (general),pesu/peshu
horrified,aha lyilyi
horse,gora*/gura*
horsefly,subu tayan
hostage,dornii
hot (result),-gu
hot (spicy),iidii
hot and unpleasant,husi-rasi
hot season,daru/daru piilo
hottuniya cordata,sia haman
hour,baji*
house (facing a main street),nento (Hi)/nendu
house (made of wooden planks),santa ude
house (with a tin roof),tin* ude
house and land property,ude nenchan
house gecko (hemidactylus frenatus),sopin
household item,budu-bugya
housemaid,bonti*
how (feeling),niitan
how (manner),niitampa
how (many),-ne
how (tall),ne oho
huge,kaye/kahe
huh,i
hull,hu
human head louse,"takhe (Ha, Bu)/tiikhe"
humble,chimin
humiliation,ensu
humorous,sola-ngarla
hundred,lan-
hungry,haya
hunker,chogin
hunting track,dalin
hurry,anii
hurt (be painful),achi
hurt (inadvertently),gyo
hurt (the eye),miichi
husband,milo
"husband's relatives (in a married couple, esp. maternal uncles)",milobo nyanii
husk (maize),aru
husk (raw rice grain),duhu
husking of paddy,diilo huniin
husky (voice),bamban/bamba
hysteria,jarpin
hystrix indica,siikhii
i,ngo
i am sure that/i swear that,-dadiima
i guess that...,nii
ice,tapin
ictineus malayensis,tayan miili
idea,biidi
identical,ahin/ain/ayin
identify,kader
idiot,piicha
idiotic,piicha
idle,mijun
if,koda
if that is so,ho koda
ignore (someone),kamur
iliac crest,kolo
ilium bone,kokhe alo
illuminate,behu
imitate,-lyan
imagine,henka
imitate (a person's way of speaking),lulyan
imitate (the cry of some animal as a bait),non
immature (plant),ajan
immediately,tuniipa
immerge,liibun
impede,hatu-hapo
"imperative suffix (non-speaker-directed, insistent)",-toku
imperative suffix (polite),-lya
impetuous,hukii-makii
implement,miinananii
impoverishment,byaniin
important,amii-alo
imprison,tun
imprudent (careless),chudu-chubo
impulsive,hukii-makii
in a flattering way,-lyo...-cho
in advance,-myo
in alternation,-go
in coming years,diira-lonyan
in former times,bilo
in good condition (infant),babu
in huge numbers,giije-giije/guje-guje
in olden days,ayu ho
in retaliation,-li
in the middle of the day,lopopa
in the middle of the night,ayo ho
in the night,lopopa
in turns,-gobiila
in vain,-nu...-na
incite (esp. to some evil action),lubur-luga
inclined to steal,chinyo
incorrectly,-mur
incubation period (for birds),liigu
indian barberry (mahonia napaulensis),tamin sanii
