English,Apatani
base,aran/liidi aran
base (of the leg and foot),ali aran
base (of a tree),sanii aran
bash against the ground,hitin
basic necessities,yasi-yamu
bask,hi
bat (generic),tapun
bathe,harsu
battle,gyambo pasu
be (born),salin
be descended (from),bupin
be enough (for),byan
be inventive in doing something,miicher mii
be sitting side by side (not face to face),kopii
be sure of one's ability to do something,sape
"be surrounded by a large number of things, as a swarm of bees",bompu
be worth,khii
bead (general),tasan
beak,hibu
beam,jombii
beam (ridge),malo abu/manpo
bean (long),perun/peron
bear (esp. himalayan black bear),siitin
bear (child),ii'nga gii
bear (fruit),hi
bear in mind,henge
beard,gommu
beat,dan
beat (heart),du
beat (heart),aha duniin
beckon,hoye
become,lyi
become poor,jugo-byago
become smaller,betun
bedbug (cimex sp.),pepu tabu
bedtime,imidu
bee (generic),nyanyi
bee eater (merops sp.),achu galan
beef,sii yo
beer (rice/millet),o
beer (diluted after repeated pouring of water),pokhe
beetle,chunyi
beeswax,ikun
befall,yaje
before,-marampa
before (someone else does),-go
before (any other does),-pyo
begining,miiriniin
behalf,-bi
bell (tibetan),maji
bell (priestly),dolyan riichan
bellow,magu
belly button,khiinii
bend (forward),khanju
bend (slightly),taki
"benign (lesion, injury)",unyo
bent (result),-ki
bequeath,"pen (Ha, Bu)/pin"
best,ayaja
bet,ahe
betray,talu balo
better,ayaya
best,ayaja
beyond,-hii
biased,hensan
big toe,liinii
billy goat,siibin bimpo
billygoat-weed (ageratum conyzoides),hiiyi tami
"bind (bamboos or trees together, so as to make an enclosure)",de
bind (with cane rope),akii
bind (bamboos),arii/rii
"bind (firewood, relatively heavy objects)",rapo
bind (in order to rectify/repair/renew something),ralyan
bind (loosely in a circular motion),khiike la
bind into bundle (bamboos),rii
bind into bundle (firewood),ra
bird (general),piita
birthplace,buko
bitch (female dog),aki-kinii
bite (as play),chimin
bite (snake),ta
bitter,kochi
bitter gourd (momordica charantia),kerela*
blabber,khanga
blabbermouth,khanga
black,ji
black (deep),ji kiina
blackout,ropuha
black drongo (dicrurus macrocercus),chikhii-chikho
black eagle (ictinaetus malayensis),tayan miili
black-headed munia (lonchura atricapilla),piidi
black kite (milvus migrans),more miiya
black-necked crane,kenda/kena
black nightshade (solanum nigrum),tanii byako
black panther (panthera pardus),nyokhe
black stork (ciconia nigra),yasi parin
black tea,lal sa*/lal sha*
blacksmith,suphu phunii miyu
blacksmithy,suphu
bladder,sarpu/sapu
bland,sarsii
blanket,kente
blast,bupur
blaze,muchu/miichu (Hi)/myuchu
bleed,ayi
blend,miiyo
bless,lyan
blessing,lyanniin
blind,ami-micha
blind person,ami-michanii miyu
blink (eyes),mibe
block off,aran
block (by laying something),dotin
block (in one's hand),gatu
block (view),katu
block (by placing something),latin
block (e.g. the passage of a needle),niitu
block (a stabbing),niitu-niipo
blood,ayi
blow (air with the mouth),mu
blow (air with the mouth or nose),sa
blow (wind),he
blow out,mupa
blue,jiji
blue pine tree (pinus wallichiana),piisa sanii
blue-throated barbet (megalaima asiatica),piige
boar,siire
body,au
body armour,hupo
body fluid,api/api ala
body hair,amu
boil (to cook),khii
boil (water),char
bone marrow,lochun
bone of the arm,lapya
boneless meat,yalan
bonfire,murpu
book,kheta*
"bore (someone, esp. by talking)",lube
bored (result),-be
bored,lebe
boring,gehepa ka
borrow,nar
borrowing,narniin
bossom (friend),aran
both,anyi
both (of them),monyi
both (of you),niinyi
bother,henga
bottom (of a tree),aran
boulder,yalan puro
boundary,ari
boundary marker (in paddy fields),sankhan
bow,alyi
bow-and-arrow,alyi-apu/alyi-apii
bow string,alyi-lyiha
boy,hime
braid,pya (Hi)/pyar
braid (of hair),pyaniin (Hi)/pyarniin
braided rope,pyaniin (Hi)/pyarniin
brain,punyu
branches (of tree),habyan-haran
"brandish (stick, sword)",kiijer
brass bowl,talo
brass platter,talo
brassica juncea var. rugosa,giyan haman.
breadth,apii
breadthwise,-pii
break (down),dar
break (apart by pulling),tiiche
break (by beating),danche
break (by pulling),tiire
break (by stepping on),chache
break (with a machete or sword),patu
"break (rope, thread)",bare
break (an egg),miipi
break (bone in meat with a machete),pakhii
break (fruits),peche
break (a relationship),tusu
